T_model,func_rho,func_cp,func_k
-3.843843843843843899e+01,1.067696579061516559e+03,2.443424839337105823e+03,1.069653546857493476e+00
-3.837337337337337573e+01,1.067696185207689723e+03,2.445127166397978726e+03,1.069782107636980895e+00
-3.830830830830830536e+01,1.067695825727640340e+03,2.446838174817673007e+03,1.069909763792199042e+00
-3.824324324324324209e+01,1.067695500798341072e+03,2.448557923726467379e+03,1.070036514168421604e+00
-3.817817817817817883e+01,1.067695210597975347e+03,2.450286472758934451e+03,1.070162357594189428e+00
-3.811311311311311556e+01,1.067694955305950543e+03,2.452023882059106654e+03,1.070287292881175301e+00
-3.804804804804804519e+01,1.067694735102907543e+03,2.453770212285709022e+03,1.070411318824042057e+00
-3.798298298298298192e+01,1.067694550170731873e+03,2.455525524617459268e+03,1.070534434200304030e+00
-3.791791791791791866e+01,1.067694400692564159e+03,2.457289880758418349e+03,1.070656637770179609e+00
-3.785285285285285539e+01,1.067694286852809455e+03,2.459063342943417865e+03,1.070777928276451352e+00
-3.778778778778778502e+01,1.067694208837151336e+03,2.460845973943544323e+03,1.070898304444318105e+00
-3.772272272272272176e+01,1.067694166832561677e+03,2.462637837071700687e+03,1.071017764981250897e+00
-3.765765765765765849e+01,1.067694161027309292e+03,2.464438996188220244e+03,1.071136308576838392e+00
-3.759259259259259522e+01,1.067694191610975849e+03,2.466249515706558668e+03,1.071253933902641009e+00
-3.752752752752752485e+01,1.067694258774462014e+03,2.468069460599058402e+03,1.071370639612039932e+00
-3.746246246246246159e+01,1.067694362710005407e+03,2.469898896402770333e+03,1.071486424340080124e+00
-3.739739739739739832e+01,1.067694503611185382e+03,2.471737889225359140e+03,1.071601286703319333e+00
-3.733233233233233506e+01,1.067694681672940987e+03,2.473586505751069126e+03,1.071715225299665786e+00
-3.726726726726726469e+01,1.067694897091577786e+03,2.475444813246780086e+03,1.071828238708226300e+00
-3.720220220220220142e+01,1.067695150064783775e+03,2.477312879568115022e+03,1.071940325489144863e+00
-3.713713713713713815e+01,1.067695440791638703e+03,2.479190773165643350e+03,1.072051484183436099e+00
-3.707207207207207489e+01,1.067695769472628399e+03,2.481078563091145043e+03,1.072161713312829390e+00
-3.700700700700700452e+01,1.067696136309655003e+03,2.482976319003961180e+03,1.072271011379597461e+00
-3.694194194194194125e+01,1.067696541506053109e+03,2.484884111177426348e+03,1.072379376866395173e+00
-3.687687687687687799e+01,1.067696985266599313e+03,2.486802010505359704e+03,1.072486808236087441e+00
-3.681181181181181472e+01,1.067697467797524951e+03,2.488730088508664267e+03,1.072593303931579811e+00
-3.674674674674674435e+01,1.067697989306530644e+03,2.490668417341989425e+03,1.072698862375645934e+00
-3.668168168168168108e+01,1.067698550002800403e+03,2.492617069800482568e+03,1.072803481970758144e+00
-3.661661661661661782e+01,1.067699150097011170e+03,2.494576119326621665e+03,1.072907161098903828e+00
-3.655155155155155455e+01,1.067699789801349880e+03,2.496545640017141068e+03,1.073009898121414674e+00
-3.648648648648648418e+01,1.067700469329523685e+03,2.498525706630027798e+03,1.073111691378784149e+00
-3.642142142142142092e+01,1.067701188896777694e+03,2.500516394591631979e+03,1.073212539190487647e+00
-3.635635635635635765e+01,1.067701948719904749e+03,2.502517780003828648e+03,1.073312439854796629e+00
-3.629129129129128728e+01,1.067702749017261795e+03,2.504529939651310542e+03,1.073411391648597446e+00
-3.622622622622622401e+01,1.067703590008783522e+03,2.506552951008942273e+03,1.073509392827200148e+00
-3.616116116116116075e+01,1.067704471915996464e+03,2.508586892249219090e+03,1.073606441624151975e+00
-3.609609609609609748e+01,1.067705394962033097e+03,2.510631842249823876e+03,1.073702536251044615e+00
-3.603103103103103422e+01,1.067706359371646158e+03,2.512687880601267352e+03,1.073797674897321031e+00
-3.596596596596596385e+01,1.067707365371225933e+03,2.514755087614638796e+03,1.073891855730082057e+00
-3.590090090090090058e+01,1.067708413188812301e+03,2.516833544329443612e+03,1.073985076893885893e+00
-3.583583583583583732e+01,1.067709503054109973e+03,2.518923332521552766e+03,1.074077336510549818e+00
-3.577077077077076694e+01,1.067710635198505543e+03,2.521024534711237266e+03,1.074168632678949464e+00
-3.570570570570570368e+01,1.067711809855081356e+03,2.523137234171320870e+03,1.074258963474812534e+00
-3.564064064064064041e+01,1.067713027258631428e+03,2.525261514935431478e+03,1.074348326950516741e+00
-3.557557557557557715e+01,1.067714287645678723e+03,2.527397461806351203e+03,1.074436721134873984e+00
-3.551051051051051388e+01,1.067715591254488118e+03,2.529545160364486946e+03,1.074524144032929174e+00
-3.544544544544544351e+01,1.067716938325084357e+03,2.531704696976438754e+03,1.074610593625738852e+00
-3.538038038038038025e+01,1.067718329099268885e+03,2.533876158803683666e+03,1.074696067870162031e+00
-3.531531531531531698e+01,1.067719763820635308e+03,2.536059633811370077e+03,1.074780564698637031e+00
-3.525025025025024661e+01,1.067721242734586212e+03,2.538255210777230786e+03,1.074864082018965883e+00
-3.518518518518518334e+01,1.067722766088349090e+03,2.540462979300597908e+03,1.074946617714089614e+00
-3.512012012012012008e+01,1.067724334130994976e+03,2.542683029811553752e+03,1.075028169641864206e+00
-3.505505505505505681e+01,1.067725947113455732e+03,2.544915453580186750e+03,1.075108735634833002e+00
-3.498998998998999355e+01,1.067727605288539507e+03,2.547160342725971532e+03,1.075188313499995552e+00
-3.492492492492492318e+01,1.067729308910949840e+03,2.549417790227274509e+03,1.075266901018578025e+00
-3.485985985985985991e+01,1.067731058237303614e+03,2.551687889930978145e+03,1.075344495945793621e+00
-3.479479479479479664e+01,1.067732853526147665e+03,2.553970736562238471e+03,1.075421096010610089e+00
-3.472972972972972627e+01,1.067734695037978781e+03,2.556266425734365384e+03,1.075496698915505922e+00
-3.466466466466466301e+01,1.067736583035260992e+03,2.558575053958832996e+03,1.075571302336228552e+00
-3.459959959959959974e+01,1.067738517782443978e+03,2.560896718655422774e+03,1.075644903921548989e+00
-3.453453453453453648e+01,1.067740499545982402e+03,2.563231518162505836e+03,1.075717501293012024e+00
-3.446946946946946611e+01,1.067742528594354553e+03,2.565579551747451660e+03,1.075789092044684869e+00
-3.440440440440440284e+01,1.067744605198083718e+03,2.567940919617179134e+03,1.075859673742908917e+00
-3.433933933933933957e+01,1.067746729629753418e+03,2.570315722928852210e+03,1.075929243926032841e+00
-3.427427427427427631e+01,1.067748902164030824e+03,2.572704063800709719e+03,1.075997800104160573e+00
-3.420920920920920594e+01,1.067751123077685406e+03,2.575106045323045691e+03,1.076065339758885742e+00
-3.414414414414414267e+01,1.067753392649608713e+03,2.577521771569332032e+03,1.076131860343027213e+00
-3.407907907907907941e+01,1.067755711160835745e+03,2.579951347607495791e+03,1.076197359280358423e+00
-3.401401401401401614e+01,1.067758078894563596e+03,2.582394879511337876e+03,1.076261833965338033e+00
-3.394894894894894577e+01,1.067760496136174879e+03,2.584852474372116376e+03,1.076325281762832153e+00
-3.388388388388388250e+01,1.067762963173258640e+03,2.587324240310277219e+03,1.076387700007841008e+00
