times, Temp_model
0.000000000000000000e+00,2.000000000000000000e+01
3.000000003492459655e+02,2.000000000000000000e+01
6.000000000698490794e+02,1.119999999999999929e+01
9.000000004190951586e+02,9.199999999999999289e+00
1.200000000139698159e+03,9.199999999999999289e+00
1.499999999860301386e+03,9.199999999999999289e+00
1.800000000209547579e+03,9.199999999999999289e+00
2.099999999930150807e+03,9.199999999999999289e+00
2.400000000279396772e+03,9.199999999999999289e+00
2.700000000000000000e+03,9.199999999999999289e+00
3.000000000349245965e+03,9.199999999999999289e+00
3.300000000069849193e+03,9.199999999999999289e+00
3.600000000419094249e+03,9.199999999999999289e+00
3.900000000139698386e+03,8.000000000000000000e+00
4.199999999860301614e+03,8.000000000000000000e+00
4.500000000209547579e+03,8.000000000000000000e+00
4.799999999930150807e+03,8.000000000000000000e+00
5.100000000279396772e+03,8.000000000000000000e+00
5.400000000000000000e+03,8.000000000000000000e+00
5.700000000349245965e+03,8.000000000000000000e+00
6.000000000069849193e+03,8.000000000000000000e+00
6.300000000419094249e+03,8.000000000000000000e+00
6.600000000139698386e+03,8.000000000000000000e+00
6.899999999860301614e+03,7.500000000000000000e+00
7.200000000209549398e+03,7.500000000000000000e+00
7.499999999930150807e+03,7.500000000000000000e+00
7.800000000279396772e+03,7.500000000000000000e+00
8.100000000000000000e+03,7.500000000000000000e+00
8.400000000349245965e+03,7.500000000000000000e+00
8.700000000069849193e+03,7.500000000000000000e+00
9.000000000419098797e+03,7.500000000000000000e+00
9.300000000139698386e+03,7.500000000000000000e+00
9.599999999860301614e+03,7.500000000000000000e+00
9.900000000209549398e+03,7.000000000000000000e+00
1.019999999993015081e+04,7.000000000000000000e+00
1.050000000027939677e+04,7.000000000000000000e+00
1.080000000000000000e+04,7.000000000000000000e+00
1.110000000034924597e+04,7.000000000000000000e+00
1.140000000006984919e+04,7.000000000000000000e+00
1.170000000041909880e+04,7.000000000000000000e+00
1.200000000013969839e+04,7.000000000000000000e+00
1.229999999986030161e+04,7.000000000000000000e+00
1.260000000020954940e+04,7.000000000000000000e+00
1.289999999993015081e+04,6.500000000000000000e+00
1.320000000027939677e+04,6.500000000000000000e+00
1.350000000000000000e+04,6.500000000000000000e+00
1.380000000034924597e+04,6.500000000000000000e+00
1.410000000006984919e+04,6.500000000000000000e+00
1.440000000041909516e+04,6.500000000000000000e+00
1.470000000013969839e+04,6.500000000000000000e+00
1.499999999986030161e+04,6.500000000000000000e+00
1.530000000020954758e+04,6.500000000000000000e+00
1.559999999993015081e+04,6.500000000000000000e+00
1.590000000027939677e+04,5.500000000000000000e+00
1.620000000000000000e+04,5.500000000000000000e+00
1.650000000034924597e+04,5.500000000000000000e+00
1.680000000006984919e+04,5.500000000000000000e+00
1.710000000041909516e+04,5.500000000000000000e+00
1.740000000013969839e+04,5.500000000000000000e+00
1.769999999986030161e+04,5.500000000000000000e+00
1.800000000020954758e+04,5.500000000000000000e+00
1.829999999993015081e+04,5.500000000000000000e+00
1.860000000027939677e+04,5.500000000000000000e+00
1.890000000000000000e+04,4.500000000000000000e+00
1.920000000034924597e+04,4.500000000000000000e+00
1.950000000006984919e+04,4.500000000000000000e+00
1.980000000041909516e+04,4.500000000000000000e+00
2.010000000013969839e+04,4.500000000000000000e+00
2.039999999986030161e+04,4.500000000000000000e+00
2.070000000020954758e+04,4.500000000000000000e+00
2.099999999993015081e+04,4.500000000000000000e+00
2.130000000027939677e+04,4.500000000000000000e+00
2.160000000000000000e+04,4.500000000000000000e+00
2.190000000034924597e+04,3.500000000000000000e+00
2.220000000006984919e+04,3.500000000000000000e+00
2.250000000041909516e+04,3.500000000000000000e+00
2.280000000013969839e+04,3.500000000000000000e+00
2.309999999986030161e+04,3.500000000000000000e+00
2.340000000020954758e+04,3.500000000000000000e+00
2.369999999993015081e+04,3.500000000000000000e+00
2.400000000027939677e+04,3.500000000000000000e+00
2.430000000000000000e+04,3.500000000000000000e+00
2.460000000034924597e+04,3.500000000000000000e+00
2.490000000006984919e+04,2.799999999999999822e+00
2.520000000041909516e+04,2.799999999999999822e+00
2.550000000013969839e+04,2.799999999999999822e+00
2.579999999986030161e+04,2.799999999999999822e+00
2.610000000020954758e+04,2.799999999999999822e+00
2.639999999993015081e+04,2.799999999999999822e+00
2.670000000027939677e+04,2.799999999999999822e+00
2.700000000000000000e+04,2.799999999999999822e+00
2.730000000034924597e+04,2.799999999999999822e+00
2.760000000006984919e+04,2.799999999999999822e+00
2.790000000041909516e+04,2.000000000000000000e+00
2.820000000013969839e+04,2.000000000000000000e+00
2.849999999986030161e+04,2.000000000000000000e+00
2.880000000020954758e+04,2.000000000000000000e+00
2.909999999993015081e+04,2.000000000000000000e+00
2.940000000027939677e+04,2.000000000000000000e+00
2.970000000000000000e+04,2.000000000000000000e+00
3.000000000034924597e+04,2.000000000000000000e+00
3.030000000006984919e+04,2.000000000000000000e+00
3.060000000041909516e+04,2.000000000000000000e+00
3.090000000013969839e+04,1.000000000000000000e+00
3.119999999986030161e+04,1.000000000000000000e+00
3.150000000020954758e+04,1.000000000000000000e+00
3.179999999993015081e+04,1.000000000000000000e+00
3.210000000027939677e+04,1.000000000000000000e+00
3.240000000000000000e+04,1.000000000000000000e+00
3.270000000034924597e+04,1.000000000000000000e+00
3.300000000006984919e+04,1.000000000000000000e+00
3.330000000041909516e+04,1.000000000000000000e+00
3.360000000013969839e+04,1.000000000000000000e+00
3.389999999986030161e+04,4.000000000000000222e-01
3.420000000020954758e+04,4.000000000000000222e-01
3.449999999993015081e+04,4.000000000000000222e-01
3.480000000027939677e+04,4.000000000000000222e-01
3.510000000000000000e+04,4.000000000000000222e-01
3.540000000034924597e+04,4.000000000000000222e-01
3.570000000006984919e+04,4.000000000000000222e-01
3.600000000041909516e+04,4.000000000000000222e-01
3.630000000013969839e+04,4.000000000000000222e-01
3.659999999986030161e+04,4.000000000000000222e-01
3.690000000020954758e+04,-5.000000000000000000e-01
3.719999999993015081e+04,-5.000000000000000000e-01
3.750000000027939677e+04,-5.000000000000000000e-01
3.780000000000000000e+04,-5.000000000000000000e-01
3.810000000034924597e+04,-5.000000000000000000e-01
3.840000000006984919e+04,-5.000000000000000000e-01
3.870000000041909516e+04,-5.000000000000000000e-01
3.900000000013969839e+04,-5.000000000000000000e-01
3.929999999986030161e+04,-5.000000000000000000e-01
3.960000000020954758e+04,-5.000000000000000000e-01
3.989999999993015081e+04,-1.000000000000000000e+00
4.020000000027939677e+04,-1.000000000000000000e+00
4.050000000000000000e+04,-1.000000000000000000e+00
4.080000000034924597e+04,-1.000000000000000000e+00
